Date,DIA,GLD,IEF,IWM,LQD,QQQ,SPY,TLT,XLE,XLF,XLK,XLV
2006-01-03,69.29238891601562,53.119998931884766,49.744564056396484,52.110721588134766,48.58506774902344,35.35706329345703,87.46329498291016,48.60331726074219,14.691469192504883,17.583751678466797,8.231344223022461,22.790027618408203
2006-01-04,69.55458068847656,53.29999923706055,49.83344650268555,52.3940544128418,48.58506774902344,35.72509002685547,87.87748718261719,48.71984100341797,14.733281135559082,17.56736946105957,8.327908515930176,23.017141342163086
2006-01-05,69.64413452148438,52.34000015258789,49.84536361694336,52.677371978759766,48.625457763671875,35.879154205322266,87.93268585205078,48.661556243896484,14.54651165008545,17.62744140625,8.366531372070312,22.960369110107422
2006-01-06,70.05350494384766,53.720001220703125,49.78015899658203,53.305320739746094,48.549163818359375,36.52960205078125,88.66442108154297,48.57151794433594,14.903336524963379,17.73119354248047,8.497862815856934,23.109411239624023
2006-01-09,70.34773254394531,54.599998474121094,49.80382537841797,53.65757369995117,48.558135986328125,36.675132751464844,88.89221954345703,48.60331726074219,14.88661003112793,17.78034019470215,8.524904251098633,23.215869903564453
2006-01-10,70.41168975830078,54.060001373291016,49.60225296020508,54.14003372192383,48.42798614501953,36.700809478759766,88.98196411132812,48.21144485473633,15.048300743103027,17.796722412109375,8.517178535461426,23.13071632385254
2006-01-11,70.63558959960938,54.529998779296875,49.47775650024414,54.048126220703125,48.34724044799805,36.98324966430664,89.2649917602539,48.131996154785156,15.112424850463867,17.895017623901367,8.598296165466309,23.07392120361328
2006-01-12,70.21339416503906,54.43000030517578,49.65562438964844,53.85667037963867,48.49982452392578,36.80350875854492,88.9129638671875,48.45500946044922,15.003697395324707,17.76941680908203,8.5519380569458,23.052629470825195
2006-01-13,70.06633758544922,55.439998626708984,49.87499237060547,53.87964630126953,48.643375396728516,36.786407470703125,88.83009338378906,48.73569869995117,15.182110786437988,17.758506774902344,8.54808235168457,23.0384464263916
2006-01-17,69.72730255126953,55.2599983215332,49.93427276611328,53.626930236816406,48.643375396728516,36.54673767089844,88.58850860595703,48.952850341796875,15.516641616821289,17.57282829284668,8.463104248046875,22.974557876586914
2006-01-18,69.46507263183594,54.06999969482422,49.95209503173828,53.512062072753906,48.629966735839844,36.12736129760742,88.23640441894531,48.93695831298828,15.388405799865723,17.5236873626709,8.36267375946045,23.01004981994629
2006-01-19,69.5481948852539,55.59000015258789,49.82754898071289,54.36971664428711,48.62095642089844,36.39268493652344,88.57467651367188,48.793941497802734,15.656025886535645,17.469074249267578,8.43605899810791,23.13071632385254
2006-01-20,68.17791748046875,55.20000076293945,49.910552978515625,53.74947738647461,48.66135025024414,35.305702209472656,86.95932006835938,48.92103958129883,15.725730895996094,17.10320281982422,8.215888023376465,22.690656661987305
2006-01-23,68.4276123046875,55.77000045776367,49.89870834350586,53.91791915893555,48.77352523803711,35.31425857543945,87.26997375488281,48.9051513671875,15.89857292175293,17.146892547607422,8.184988021850586,22.676471710205078
2006-01-24,68.47884368896484,55.72999954223633,49.81576156616211,54.52288055419922,48.665836334228516,35.46831130981445,87.35974884033203,48.6668586730957,15.80378246307373,17.223342895507812,8.21202564239502,22.570009231567383
2006-01-25,68.61327362060547,56.13999938964844,49.507408142089844,54.66073226928711,48.3966064453125,35.31425857543945,87.43569946289062,48.13727569580078,15.472040176391602,17.256105422973633,8.239068031311035,22.541610717773438
2006-01-26,69.16401672363281,55.880001068115234,49.40062713623047,55.44944381713867,48.32480239868164,35.56246566772461,87.91887664794922,47.93077850341797,15.52221965789795,17.55099105834961,8.29314136505127,22.65516471862793
2006-01-27,69.86839294433594,55.630001068115234,49.436222076416016,55.72514343261719,48.3966064453125,36.041770935058594,88.73343658447266,47.93077850341797,15.79262924194336,17.56736946105957,8.385844230651855,22.91777229309082
2006-01-30,69.74028778076172,56.68000030517578,49.329498291015625,55.56433868408203,48.217140197753906,36.11023712158203,88.66442108154297,47.88311004638672,16.155046463012695,17.512771606445312,8.412887573242188,22.811325073242188
2006-01-31,69.33048248291016,56.70000076293945,49.40062713623047,55.403526306152344,48.109432220458984,35.94761657714844,88.01553344726562,48.01548767089844,16.074190139770508,17.447240829467773,8.343358039855957,22.80422592163086
2006-02-01,70.16295623779297,56.70000076293945,49.248409271240234,55.97785568237305,48.12248992919922,36.07601547241211,88.62989807128906,47.851280212402344,15.692276000976562,17.43630599975586,8.393575668334961,22.946165084838867
2006-02-02,69.34972381591797,56.97999954223633,49.248409271240234,55.135520935058594,48.08198165893555,35.45976257324219,87.60135650634766,47.94163513183594,15.536157608032227,17.316173553466797,8.277691841125488,22.76163101196289
2006-02-03,69.0230941772461,56.5,49.39710998535156,54.96702575683594,48.15857696533203,35.02325439453125,87.16641235351562,48.28176498413086,15.39398193359375,17.245187759399414,8.219754219055176,22.71904945373535
2006-02-06,69.17041015625,56.720001220703125,49.32570266723633,55.45712661743164,48.239585876464844,34.92911911010742,87.39421844482422,48.377418518066406,15.69506549835205,17.294330596923828,8.196574211120605,22.513227462768555
2006-02-07,68.82463073730469,54.599998474121094,49.266239166259766,54.56117630004883,48.11800003051758,34.775047302246094,86.62109375,48.14889907836914,15.039942741394043,17.179651260375977,8.173399925231934,22.477731704711914
2006-02-08,69.5353775024414,54.83000183105469,49.236507415771484,54.905765533447266,48.11800003051758,35.177310943603516,87.40802764892578,48.03728103637695,15.042724609375,17.288867950439453,8.331770896911621,22.76873207092285
2006-02-09,69.69548034667969,56.18000030517578,49.284080505371094,54.622432708740234,48.194580078125,34.843502044677734,87.2630615234375,48.25520324707031,14.699837684631348,17.33255386352539,8.29314136505127,22.790027618408203
2006-02-10,69.88124084472656,54.790000915527344,49.141334533691406,54.50758361816406,48.10449981689453,35.057491302490234,87.42182922363281,47.989437103271484,14.646865844726562,17.43085289001465,8.358805656433105,22.740346908569336
2006-02-13,69.82997131347656,53.720001220703125,49.141334533691406,54.14767837524414,48.17654037475586,34.65522384643555,87.2630615234375,47.9947509765625,14.58833122253418,17.365324020385742,8.28155517578125,22.711959838867188
2006-02-14,70.69442749023438,54.4900016784668,49.06995391845703,54.77561569213867,48.12700271606445,35.006126403808594,88.18810272216797,47.82473373413086,14.423846244812012,17.57282829284668,8.393575668334961,22.93197250366211
2006-02-15,70.88644409179688,53.7599983215332,49.15919494628906,55.25802993774414,48.15857696533203,35.22867202758789,88.4987564086914,47.94163513183594,14.345788955688477,17.676584243774414,8.439923286437988,23.066816329956055
2006-02-16,71.25154876708984,54.52000045776367,49.1353874206543,55.74814987182617,48.22611999511719,35.553924560546875,89.16143798828125,47.95225524902344,14.6747407913208,17.78034019470215,8.517178535461426,23.215869903564453
2006-02-17,71.22198486328125,54.959999084472656,49.3018913269043,55.63325500488281,48.38376235961914,35.271461486816406,88.91981506347656,48.33490753173828,14.7778902053833,17.709354400634766,8.470826148986816,23.201677322387695
2006-02-21,70.93333435058594,55.119998931884766,49.242488861083984,55.38821029663086,48.361244201660156,34.877750396728516,88.69893646240234,48.25520324707031,15.067819595336914,17.65474510192871,8.378122329711914,23.081022262573242
2006-02-22,71.27336883544922,55.34000015258789,49.42686080932617,55.76344680786133,48.541404724121094,35.31425857543945,89.23739624023438,48.58468246459961,14.78625774383545,17.987855911254883,8.420607566833496,23.279747009277344
2006-02-23,71.04241943359375,54.63999938964844,49.307891845703125,55.72514343261719,48.43328857421875,35.22011184692383,89.1062240600586,48.46248245239258,14.769527435302734,17.922327041625977,8.378122329711914,23.194578170776367
2006-02-24,71.05520629882812,55.63999938964844,49.248409271240234,56.169288635253906,48.41078567504883,35.31425857543945,89.33403015136719,48.38805389404297,14.950732231140137,17.960548400878906,8.381980895996094,23.194578170776367
2006-02-27,71.11296844482422,55.220001220703125,49.15321731567383,56.32246017456055,48.388240814208984,35.70797348022461,89.36853790283203,48.30833053588867,14.691469192504883,17.993310928344727,8.459238052368164,23.372011184692383
2006-02-28,70.50353240966797,56.06999969482422,49.34952926635742,55.57963943481445,48.43777847290039,35.177310943603516,88.51943969726562,48.5474853515625,14.591103553771973,17.818572998046875,8.36267375946045,23.066816329956055
2006-03-01,70.86273956298828,56.099998474121094,49.252254486083984,56.590457916259766,48.25103759765625,35.6566047668457,89.306396484375,48.25415802001953,14.83922290802002,17.911394119262695,8.528762817382812,23.088117599487305
2006-03-02,70.81145477294922,56.7400016784668,49.055335998535156,56.35306930541992,48.0294303894043,35.682289123535156,89.29948425292969,47.91817855834961,15.087327003479004,17.802186965942383,8.54808235168457,23.045541763305664
2006-03-03,70.61258697509766,56.279998779296875,48.93599319458008,56.06973648071289,47.93893814086914,35.47688674926758,88.88533020019531,47.640869140625,15.090124130249023,17.758506774902344,8.497862815856934,22.967458724975586
2006-03-06,70.33029174804688,55.22999954223633,48.78084945678711,55.63325500488281,47.69021987915039,35.16874694824219,88.47803497314453,47.22487258911133,14.566020011901855,17.703893661499023,8.463104248046875,22.8468017578125
2006-03-07,70.47138977050781,54.95000076293945,48.8046875,54.82920455932617,47.66764450073242,34.96333312988281,88.3399887084961,47.25687789916992,14.351364135742188,17.763957977294922,8.409025192260742,22.85390281677246
2006-03-08,70.63179016113281,53.970001220703125,48.8286018371582,55.020652770996094,47.69021987915039,34.98044967651367,88.5263671875,47.240848541259766,14.351364135742188,17.77488136291504,8.401298522949219,23.01004981994629
2006-03-09,70.38162231445312,54.2400016784668,48.87629318237305,54.538211822509766,47.68119430541992,34.6808967590332,87.93268585205078,47.25687789916992,14.248222351074219,17.665664672851562,8.351081848144531,22.93197250366211
2006-03-10,71.11296844482422,53.83000183105469,48.78084945678711,55.380558013916016,47.803279876708984,34.71515655517578,88.76795196533203,47.08086013793945,14.326279640197754,17.82403564453125,8.389703750610352,23.017141342163086
2006-03-13,71.21561431884766,54.310001373291016,48.73909378051758,55.49541091918945,47.739986419677734,34.81782913208008,88.93362426757812,47.04353713989258,14.607836723327637,17.829483032226562,8.420607566833496,23.002954483032227
2006-03-14,71.60692596435547,54.869998931884766,49.01957321166992,56.10805892944336,48.047508239746094,35.408416748046875,89.86558532714844,47.35822677612305,14.878252983093262,18.03700065612793,8.517178535461426,23.16619300842285
2006-03-15,72.06237030029297,55.119998931884766,48.93001937866211,56.6211051940918,47.97512435913086,35.70797348022461,90.2659683227539,47.10219192504883,14.956305503845215,18.058839797973633,8.567395210266113,23.2442626953125
2006-03-16,72.34461975097656,55.34000015258789,49.24032211303711,56.49092102050781,48.237457275390625,35.408416748046875,90.45232391357422,47.52882385253906,15.193263053894043,18.118913650512695,8.51331615447998,23.2442626953125
2006-03-17,72.45980834960938,55.119998931884766,49.13888168334961,56.72065734863281,48.19220733642578,35.50178146362305,90.52787017822266,47.38485336303711,15.000617027282715,18.172164916992188,8.54035472869873,23.299089431762695
2006-03-20,72.45330047607422,55.16999816894531,49.23432159423828,56.69002914428711,48.246517181396484,35.58740997314453,90.38233947753906,47.459495544433594,14.667889595031738,18.183141708374023,8.555807113647461,23.341819763183594
2006-03-21,72.20901489257812,54.83000183105469,49.03147888183594,55.901268005371094,48.06560516357422,35.21055221557617,89.81401824951172,47.214168548583984,14.642732620239258,18.001972198486328,8.521038055419922,23.199399948120117
2006-03-22,72.69117736816406,54.75,49.09115982055664,56.766624450683594,48.05655288696289,35.296207427978516,90.36154174804688,47.31555938720703,14.74059009552002,18.144716262817383,8.524904251098633,23.43439292907715
2006-03-23,72.51122283935547,54.70000076293945,48.96583557128906,57.01163101196289,48.0294303894043,35.193424224853516,90.1744384765625,47.166194915771484,14.958683013916016,18.056875228881836,8.505587577819824,23.30620574951172
2006-03-24,72.49189758300781,55.709999084472656,49.18063735961914,57.486732482910156,48.14698791503906,35.37328338623047,90.24372863769531,47.51287841796875,15.059335708618164,18.0513858795166,8.53262710571289,23.27060890197754
2006-03-27,72.29900360107422,56.38999938964844,49.073204040527344,57.494415283203125,48.14698791503906,35.38185501098633,90.112060546875,47.336875915527344,15.137628555297852,18.0403995513916,8.544218063354492,23.09259605407715
2006-03-28,71.64325714111328,56.060001373291016,48.834537506103516,57.195091247558594,47.92086410522461,35.23625183105469,89.5575942993164,46.894248962402344,15.25505542755127,17.892168045043945,8.447650909423828,22.87897491455078
2006-03-29,71.9903793334961,57.06999969482422,48.78681182861328,58.2542610168457,47.875648498535156,35.90432357788086,90.11898040771484,46.67020034790039,15.434003829956055,17.97452163696289,8.575119018554688,22.943063735961914
2006-03-30,71.63683319091797,58.599998474121094,48.64361572265625,58.10073471069336,47.73091125488281,36.01565170288086,89.9595947265625,46.34489059448242,15.425615310668945,17.864717483520508,8.602158546447754,22.900331497192383
2006-03-31,71.5660400390625,58.099998474121094,48.679420471191406,58.307979583740234,47.62237548828125,35.91289520263672,89.98038482666016,46.328861236572266,15.210319519042969,17.870210647583008,8.5519380569458,22.772153854370117
2006-04-03,71.5660400390625,58.470001220703125,48.625572204589844,57.82444763183594,47.6623420715332,35.95570755004883,89.91104888916016,46.34391784667969,15.29419994354248,17.897663116455078,8.602158546447754,22.75791358947754
2006-04-04,72.00968170166016,58.33000183105469,48.63153076171875,58.08538055419922,47.707767486572266,36.152713775634766,90.48629760742188,46.29575729370117,15.495515823364258,18.089811325073242,8.633058547973633,22.78640365600586
2006-04-05,72.24116516113281,58.65999984741211,48.74525833129883,58.384700775146484,47.86675262451172,36.49531173706055,90.79820251464844,46.35997772216797,15.749951362609863,18.122753143310547,8.706451416015625,22.715192794799805
2006-04-06,72.11901092529297,59.279998779296875,48.60759353637695,58.507511138916016,47.69415283203125,36.598087310791016,90.70111846923828,46.00662612915039,15.783503532409668,18.056875228881836,8.698726654052734,22.544296264648438
2006-04-07,71.52103424072266,58.59000015258789,48.386112213134766,57.57118225097656,47.50794982910156,36.24692153930664,89.77938079833984,45.556941986083984,15.475948333740234,17.886682510375977,8.598296165466309,22.27370262145996
2006-04-10,71.69470977783203,59.599998474121094,48.445945739746094,57.509765625,47.40349197387695,36.195533752441406,89.91796875,45.64258575439453,15.769518852233887,17.919628143310547,8.586705207824707,22.230979919433594
2006-04-11,71.32170104980469,59.0099983215332,48.53573989868164,56.48896408081055,47.53970718383789,35.90432357788086,89.15560913085938,45.80319595336914,15.657682418823242,17.765907287597656,8.509452819824219,21.988874435424805
2006-04-12,71.5532455444336,59.43000030517578,48.4219970703125,57.07992935180664,47.389869689941406,35.91289520263672,89.32198333740234,45.52479553222656,15.55423355102539,17.80433464050293,8.524904251098633,22.138423919677734
2006-04-13,71.54679870605469,59.5,48.16462707519531,57.225765228271484,47.29902267456055,36.058475494384766,89.20416259765625,45.203617095947266,15.60456657409668,17.831777572631836,8.536491394042969,22.088563919067383
2006-04-17,71.25741577148438,61.09000015258789,48.350135803222656,57.26414489746094,47.28995895385742,35.681617736816406,89.16947174072266,45.36959457397461,15.892546653747559,17.815309524536133,8.443785667419434,21.960390090942383
2006-04-18,72.42118072509766,61.849998474121094,48.50578689575195,58.868255615234375,47.48065185546875,36.3668212890625,90.5833511352539,45.44987487792969,16.281192779541016,18.144716262817383,8.613741874694824,22.166898727416992
2006-04-19,72.5626220703125,63.75,48.368133544921875,59.2980842590332,47.448890686035156,36.5295524597168,90.75659942626953,45.171512603759766,16.5328369140625,18.166677474975586,8.60601806640625,22.03871726989746
2006-04-20,72.96769714355469,60.959999084472656,48.32624435424805,58.98339080810547,47.42618942260742,36.401092529296875,90.88131713867188,45.13399887084961,16.36227035522461,18.20510482788086,8.613741874694824,22.23810577392578
2006-04-21,72.98763275146484,63.20000076293945,48.42802429199219,58.85291290283203,47.51703643798828,35.97283935546875,90.89520263671875,45.39632797241211,16.70339584350586,18.183141708374023,8.521038055419922,22.188257217407227
2006-04-24,72.95547485351562,61.650001525878906,48.48788070678711,58.384700775146484,47.612388610839844,35.938568115234375,90.72889709472656,45.57835006713867,16.448955535888672,18.188634872436523,8.509452819824219,22.102807998657227
2006-04-25,72.62720489501953,62.779998779296875,48.18259048461914,58.4230842590332,47.38533020019531,35.86150360107422,90.35459899902344,45.03769302368164,16.2364559173584,18.078832626342773,8.505587577819824,21.967512130737305
2006-04-26,72.98119354248047,63.650001525878906,48.158626556396484,58.37704086303711,47.3308219909668,35.852935791015625,90.37539672851562,44.962738037109375,15.979227066040039,18.183141708374023,8.536491394042969,21.967512130737305
2006-04-27,73.22577667236328,62.959999084472656,48.290340423583984,57.89351272583008,47.417083740234375,36.195533752441406,90.81200408935547,45.02162170410156,15.797483444213867,18.468631744384766,8.62147045135498,21.846460342407227
2006-04-28,73.29659271240234,65.08999633789062,48.37411880493164,58.48451614379883,47.52613067626953,35.84437942504883,91.11699676513672,45.05373001098633,15.976430892944336,18.64430809020996,8.439923286437988,22.06720733642578
2006-05-01,72.92327880859375,65.16000366210938,48.1121711730957,57.76304244995117,47.28526306152344,35.4931755065918,90.37539672851562,44.71515655517578,16.2392520904541,18.353334426879883,8.370397567749023,21.87494468688965
2006-05-02,73.47039031982422,66.55000305175781,48.19027328491211,58.55359649658203,47.35825729370117,35.58740997314453,91.05461883544922,44.833377838134766,16.599937438964844,18.468631744384766,8.409025192260742,21.87494468688965
2006-05-03,73.34806060791016,66.45999908447266,48.12421417236328,58.45382308959961,47.35825729370117,35.53604507446289,90.71504211425781,44.736637115478516,16.342708587646484,18.45216178894043,8.389703750610352,21.63283348083496
2006-05-04,73.58625793457031,67.4800033569336,48.094154357910156,59.167579650878906,47.33997344970703,35.82723617553711,91.04075622558594,44.661380767822266,16.2672176361084,18.4905948638916,8.420607566833496,21.704044342041016
2006-05-05,74.42294311523438,67.98999786376953,48.20829391479492,59.49760818481445,47.39474105834961,36.10988235473633,91.84473419189453,44.93009948730469,16.457338333129883,18.75411033630371,8.466959953308105,21.91766929626465
2006-05-08,74.5001449584961,67.55999755859375,48.23231887817383,59.582061767578125,47.45403289794922,36.14414596557617,91.73382568359375,44.95697021484375,16.384641647338867,18.677261352539062,8.47854995727539,21.910551071166992
2006-05-09,74.8799057006836,69.68000030517578,48.21428680419922,59.49760818481445,47.472259521484375,36.00709533691406,91.91400146484375,44.93009948730469,16.482513427734375,18.710193634033203,8.443785667419434,21.75389289855957
2006-05-10,75.02149963378906,70.37999725341797,48.23836135864258,59.13688659667969,47.504207611083984,35.690185546875,91.865478515625,45.01075744628906,16.636289596557617,18.72117805480957,8.354942321777344,21.73252296447754
2006-05-11,74.13976287841797,71.02999877929688,48.15422439575195,57.80141067504883,47.42207717895508,34.8936653137207,90.75659942626953,44.790409088134766,16.42099380493164,18.413728713989258,8.181123733520508,21.689800262451172
2006-05-12,73.29017639160156,71.12000274658203,47.973995208740234,56.41222381591797,47.30350875854492,34.42257308959961,89.57147216796875,44.4195556640625,15.864587783813477,18.22706413269043,8.103873252868652,21.63996124267578
2006-05-15,73.57981872558594,67.41000366210938,48.07609939575195,56.158931732177734,47.34457778930664,34.396881103515625,89.75165557861328,44.59691619873047,15.53185749053955,18.353334426879883,8.11159896850586,21.946157455444336
2006-05-16,73.5669174194336,68.61000061035156,48.256351470947266,56.25105285644531,47.51791763305664,34.139949798583984,89.61998748779297,44.93009948730469,15.587780952453613,18.331375122070312,8.034345626831055,22.00311851501465
2006-05-17,72.08007049560547,68.1500015258789,48.1181755065918,55.22256088256836,47.367366790771484,33.67741394042969,87.91505432128906,44.650665283203125,15.190749168395996,17.963544845581055,7.926187515258789,21.775249481201172
2006-05-18,71.7132339477539,67.45999908447266,48.46067428588867,54.700645446777344,47.6684455871582,33.44618606567383,87.47145080566406,45.257972717285156,15.00621223449707,17.80433464050293,7.89915132522583,21.68268585205078
2006-05-19,71.92555236816406,65.58000183105469,48.43062210083008,55.18416976928711,47.64560317993164,33.7031135559082,88.0882797241211,45.37621307373047,15.104074478149414,17.897663116455078,7.957093238830566,21.561626434326172
2006-05-22,71.60291290283203,65.30000305175781,48.49667739868164,54.57019805908203,47.67298889160156,33.37765121459961,87.41602325439453,45.472957611083984,15.017394065856934,17.85374641418457,7.887563705444336,21.469066619873047
