Date,GLD,HYG,IEF,IWM,LQD,QQQ,SPY,TLT,USO,XLF
2021-01-04,182.3300018310547,66.2926254272461,105.09579467773438,181.96470642089844,113.90372467041016,300.16314697265625,344.2567443847656,134.26727294921875,32.380001068115234,26.672204971313477
2021-01-05,182.8699951171875,66.31549835205078,104.85047149658203,184.77650451660156,113.53903198242188,302.6376647949219,346.6277160644531,133.27008056640625,33.939998626708984,26.791440963745117
2021-01-06,179.89999389648438,66.1937026977539,104.2373046875,192.33718872070312,112.61907196044922,298.44549560546875,348.7000732421875,130.53428649902344,34.11000061035156,27.974626541137695
2021-01-07,179.47999572753906,66.38394927978516,103.86943054199219,195.7601776123047,112.60245513916016,305.6653747558594,353.8808898925781,129.38368225097656,34.529998779296875,28.378198623657227
2021-01-08,173.33999633789062,66.48287200927734,103.57160949707031,195.3370361328125,112.51957702636719,309.5956726074219,355.89715576171875,128.96607971191406,35.43000030517578,28.359851837158203
2021-01-11,173.0,66.12522888183594,103.37016296386719,195.16775512695312,112.03886413574219,305.1219787597656,353.4980773925781,128.75306701660156,35.2599983215332,28.451576232910156
2021-01-12,174.1199951171875,66.20893859863281,103.3526382446289,198.66600036621094,112.27925109863281,304.6367492675781,353.57281494140625,128.65074157714844,35.900001525878906,28.745079040527344
2021-01-13,173.3699951171875,66.40677642822266,103.7117691040039,197.2460174560547,113.1495132446289,306.6940612792969,354.5249938964844,130.09957885742188,35.79999923706055,28.72673225402832
2021-01-14,173.27999877929688,66.39155578613281,103.47525787353516,201.18621826171875,112.66047668457031,305.0540771484375,353.283447265625,128.88084411621094,36.2400016784668,28.855140686035156
2021-01-15,171.1300048828125,66.2850570678711,103.75557708740234,198.18641662597656,112.83454895019531,302.6376647949219,350.70697021484375,129.39219665527344,35.34000015258789,28.378198623657227
2021-01-19,172.5800018310547,66.47526550292969,103.81687927246094,200.7254180908203,113.033447265625,307.0531311035156,353.46075439453125,129.809814453125,35.75,28.451576232910156
2021-01-20,175.38999938964844,66.59700012207031,103.86067199707031,201.6094207763672,113.00032043457031,314.1955261230469,358.3522644042969,129.93768310546875,35.790000915527344,28.332334518432617
2021-01-21,175.27999877929688,66.55897521972656,103.7117691040039,199.86026000976562,112.55274963378906,316.70892333984375,358.67889404296875,129.02569580078125,35.7599983215332,28.029659271240234
2021-01-22,173.89999389648438,66.42963409423828,103.86943054199219,202.18304443359375,112.46986389160156,315.7967529296875,357.409423828125,129.443359375,35.22999954223633,27.8278751373291
2021-01-25,174.0500030517578,66.4448471069336,104.28986358642578,201.98556518554688,112.95051574707031,318.40716552734375,358.8189697265625,130.9689483642578,35.59000015258789,27.626096725463867
2021-01-26,173.6199951171875,66.34589385986328,104.25486755371094,200.5843963623047,112.94223022460938,318.8729248046875,358.25885009765625,130.7218017578125,35.45000076293945,27.40596580505371
2021-01-27,172.52000427246094,66.15568542480469,104.37748718261719,196.90750122070312,112.7433853149414,309.9837951660156,349.5028076171875,131.05413818359375,35.5,26.59882926940918
2021-01-28,172.67999267578125,66.35350799560547,104.10595703125,196.27743530273438,112.56104278564453,311.8179016113281,352.5086975097656,130.3297576904297,35.25,27.094120025634766
2021-01-29,172.61000061035156,66.17849731445312,103.92201232910156,193.30581665039062,112.38697814941406,305.25787353515625,345.4516296386719,129.5456085205078,35.18000030517578,26.552968978881836
2021-02-01,174.22999572753906,66.39083099365234,104.05170440673828,198.05477905273438,112.60871124267578,312.8854675292969,351.2018737792969,129.69580078125,36.119998931884766,26.90150260925293
2021-02-02,172.11000061035156,66.55120849609375,103.78875732421875,200.8759307861328,112.30975341796875,317.9898986816406,356.16790771484375,128.8595733642578,36.81999969482422,27.552719116210938
2021-02-03,171.85000610351562,66.60466766357422,103.53458404541016,201.4777374267578,112.04398345947266,316.7283020019531,356.4479064941406,127.71623992919922,37.439998626708984,27.708641052246094
2021-02-04,168.14999389648438,66.74215698242188,103.49952697753906,205.58724975585938,112.23500061035156,320.47412109375,360.4992370605469,127.37492370605469,37.810001373291016,28.323165893554688
2021-02-05,169.80999755859375,66.84141540527344,103.28038787841797,208.43658447265625,111.93604278564453,321.5610656738281,361.9180908203125,126.30838012695312,38.189998626708984,28.332334518432617
2021-02-08,171.52000427246094,67.04000091552734,103.32421875,213.75918579101562,112.41771697998047,323.71539306640625,364.5318298339844,126.86299896240234,38.939998626708984,28.69921875
2021-02-09,172.0800018310547,66.91778564453125,103.40310668945312,214.76541137695312,112.24331665039062,323.6474609375,364.28912353515625,126.95684814453125,39.16999816894531,28.708385467529297
2021-02-10,172.7100067138672,66.90251922607422,103.6660385131836,213.3548126220703,112.509033203125,322.90997314453125,364.1304931640625,127.8015365600586,39.279998779296875,28.708385467529297
2021-02-11,171.2100067138672,66.93305969238281,103.58718872070312,213.11032104492188,112.21009063720703,324.68585205078125,364.7184753417969,127.10187530517578,38.970001220703125,28.61667251586914
2021-02-12,170.69000244140625,67.04000091552734,103.24530792236328,213.712158203125,111.84468078613281,326.5006103515625,366.5201721191406,125.52339172363281,39.939998626708984,28.91017723083496
2021-02-16,168.24000549316406,66.93305969238281,102.50029754638672,212.36741638183594,111.05575561523438,325.6174011230469,366.20269775390625,123.61203002929688,40.45000076293945,29.405460357666016
2021-02-17,166.3300018310547,66.91015625,102.57041931152344,210.7029266357422,111.61214447021484,324.0550231933594,366.2868347167969,124.39704895019531,40.88999938964844,29.55221176147461
2021-02-18,166.32000732421875,66.81849670410156,102.56163787841797,207.43980407714844,111.39623260498047,322.63818359375,364.7279052734375,123.89368438720703,40.27000045776367,29.377939224243164
2021-02-19,167.00999450683594,66.82616424560547,102.14971160888672,211.76556396484375,110.59073638916016,321.2311706542969,364.0837097167969,122.24684143066406,39.68000030517578,29.726484298706055
2021-02-22,169.50999450683594,66.61992645263672,101.98313903808594,210.39263916015625,109.90142822265625,312.90484619140625,361.2833251953125,121.3167724609375,41.279998779296875,30.00164794921875
