Date,GLD,HYG,IWM,LQD,QQQ,SPY,TLT,USO,XLE,XLF,XLK,XLV
2018-01-02,125.1500015258789,56.93989944458008,139.13148498535156,90.75100708007812,150.41159057617188,237.20819091796875,100.23914337158203,96.55999755859375,25.91548728942871,24.006912231445312,29.910062789916992,73.02229309082031
2018-01-03,124.81999969482422,57.21371841430664,139.276123046875,90.91636657714844,151.87307739257812,238.70867919921875,100.71843719482422,98.72000122070312,26.303598403930664,24.135887145996094,30.159547805786133,73.72100830078125
2018-01-04,125.45999908447266,57.31154251098633,139.64678955078125,90.88630676269531,152.1387939453125,239.71469116210938,100.70245361328125,98.95999908447266,26.462369918823242,24.359455108642578,30.31201171875,73.82581329345703
2018-01-05,125.33000183105469,57.350643157958984,139.93601989746094,90.85623931884766,153.66676330566406,241.31216430664062,100.4149398803711,98.4800033569336,26.45178985595703,24.428239822387695,30.63079833984375,74.45462036132812
2018-01-08,125.30999755859375,57.304996490478516,140.15301513671875,90.84873962402344,154.26466369628906,241.7534942626953,100.3509750366211,99.04000091552734,26.610565185546875,24.393844604492188,30.74629020690918,74.18389129638672
2018-01-09,124.7300033569336,57.12898635864258,139.9631805419922,90.51803588867188,154.27410888671875,242.3006591796875,99.00906372070312,100.55999755859375,26.543527603149414,24.583009719848633,30.667747497558594,75.05725860595703
2018-01-10,125.02999877929688,57.00513458251953,139.9812469482422,90.57816314697266,153.91348266601562,241.92990112304688,98.88923645019531,101.44000244140625,26.511775970458984,24.78937339782715,30.561491012573242,74.92623901367188
2018-01-11,125.44000244140625,57.19416427612305,142.38600158691406,90.79613494873047,154.9668731689453,243.6951446533203,99.2966079711914,101.5999984741211,27.055133819580078,24.909748077392578,30.68623161315918,75.24940490722656
2018-01-12,126.95999908447266,57.096378326416016,142.982666015625,90.8111801147461,156.1057586669922,245.28379821777344,99.4643325805664,102.95999908447266,27.316234588623047,25.133312225341797,30.866409301757812,75.82582092285156
2018-01-16,127.16999816894531,57.06380844116211,141.15650939941406,90.8938217163086,155.65969848632812,244.44532775878906,99.87970733642578,102.08000183105469,26.9704532623291,25.06452751159668,30.74629020690918,76.20137023925781
2018-01-17,126.13999938964844,57.070308685302734,142.49444580078125,90.64582061767578,157.3395233154297,246.77529907226562,99.74394226074219,102.23999786376953,27.206865310668945,25.253694534301758,31.208297729492188,76.93498992919922
2018-01-18,125.86000061035156,57.01163864135742,141.51806640625,90.2925796508789,157.367919921875,246.36041259765625,98.81734466552734,102.08000183105469,26.98456382751465,25.21929168701172,31.263731002807617,76.95246124267578
